variant_id,quantity_on_hand,quantity_reserved,reorder_level,allow_backorder
40000000-0000-4000-8000-000000000001,45,2,8,false
40000000-0000-4000-8000-000000000002,7,0,5,false
40000000-0000-4000-8000-000000000003,3,1,5,false
40000000-0000-4000-8000-000000000004,0,0,5,false
40000000-0000-4000-8000-000000000005,45,2,8,false
40000000-0000-4000-8000-000000000006,11,0,5,false
40000000-0000-4000-8000-000000000007,2,0,5,false
40000000-0000-4000-8000-000000000008,13,0,5,false
40000000-0000-4000-8000-000000000009,45,2,8,false
40000000-0000-4000-8000-000000000010,15,0,5,false
40000000-0000-4000-8000-000000000011,16,0,5,false
40000000-0000-4000-8000-000000000012,17,0,5,false
40000000-0000-4000-8000-000000000013,18,0,5,false
40000000-0000-4000-8000-000000000014,19,1,5,false
40000000-0000-4000-8000-000000000015,20,0,5,false
40000000-0000-4000-8000-000000000016,21,0,5,false
40000000-0000-4000-8000-000000000017,0,0,0,false
40000000-0000-4000-8000-000000000018,4,1,5,false
40000000-0000-4000-8000-000000000019,24,0,5,false
40000000-0000-4000-8000-000000000020,25,0,5,false
40000000-0000-4000-8000-000000000021,5,0,5,false
40000000-0000-4000-8000-000000000022,6,0,5,false
40000000-0000-4000-8000-000000000023,0,0,5,false
40000000-0000-4000-8000-000000000024,8,0,5,false
40000000-0000-4000-8000-000000000025,9,0,5,false
40000000-0000-4000-8000-000000000026,10,0,5,false
40000000-0000-4000-8000-000000000027,11,0,5,false
40000000-0000-4000-8000-000000000028,0,0,0,false
40000000-0000-4000-8000-000000000029,0,0,0,false
40000000-0000-4000-8000-000000000030,0,0,0,false
40000000-0000-4000-8000-000000000031,15,0,5,false
40000000-0000-4000-8000-000000000032,16,0,5,false
40000000-0000-4000-8000-000000000033,17,0,5,false
40000000-0000-4000-8000-000000000034,18,0,5,false
40000000-0000-4000-8000-000000000035,2,0,5,false
40000000-0000-4000-8000-000000000036,20,0,5,false
40000000-0000-4000-8000-000000000037,0,0,5,false
40000000-0000-4000-8000-000000000038,22,0,5,false
40000000-0000-4000-8000-000000000039,23,0,5,false
40000000-0000-4000-8000-000000000040,24,0,5,false
40000000-0000-4000-8000-000000000041,0,0,0,false
40000000-0000-4000-8000-000000000042,3,0,10,false
40000000-0000-4000-8000-000000000043,6,0,5,false
40000000-0000-4000-8000-000000000044,7,0,5,false
40000000-0000-4000-8000-000000000045,8,0,5,false
40000000-0000-4000-8000-000000000046,9,0,5,false
40000000-0000-4000-8000-000000000047,10,0,5,false
40000000-0000-4000-8000-000000000048,11,0,5,false
40000000-0000-4000-8000-000000000049,12,1,5,false
40000000-0000-4000-8000-000000000050,0,0,3,true
40000000-0000-4000-8000-000000000051,0,0,0,false
40000000-0000-4000-8000-000000000052,15,0,5,false
40000000-0000-4000-8000-000000000053,16,0,5,false
40000000-0000-4000-8000-000000000054,17,0,5,false
40000000-0000-4000-8000-000000000055,18,0,5,false
40000000-0000-4000-8000-000000000056,0,0,5,false
40000000-0000-4000-8000-000000000057,20,0,5,false
40000000-0000-4000-8000-000000000058,21,0,5,false
40000000-0000-4000-8000-000000000059,22,0,5,false
40000000-0000-4000-8000-000000000060,23,0,5,false
40000000-0000-4000-8000-000000000061,24,0,5,false
40000000-0000-4000-8000-000000000062,0,0,0,false
40000000-0000-4000-8000-000000000063,5,0,5,false
