id,product_id,sku,name,color_name,color_hex,racket_weight_class,grip_size,shoe_size,clothing_size,unit,price,compare_at_price,cost_price,barcode,is_default,is_active,sort_order
40000000-0000-4000-8000-000000000001,30000000-0000-4000-8000-000000000001,RKT-YON-AS88-RED-3U-G5,3U / G5 Đỏ,Đỏ,#C62828,3U,G5,,,item,1890000.00,2190000.00,1200000.00,,true,true,1
40000000-0000-4000-8000-000000000002,30000000-0000-4000-8000-000000000001,RKT-YON-AS88-RED-4U-G5,4U / G5 Đỏ,Đỏ,#C62828,4U,G5,,,item,1890000.00,2190000.00,1200000.00,,false,true,2
40000000-0000-4000-8000-000000000003,30000000-0000-4000-8000-000000000001,RKT-YON-AS88-BLU-4U-G6,4U / G6 Xanh,Xanh dương,#1565C0,4U,G6,,,item,1920000.00,,1220000.00,,false,true,3
40000000-0000-4000-8000-000000000004,30000000-0000-4000-8000-000000000001,RKT-YON-AS88-BLK-4U-G5,4U / G5 Đen,Đen,#212121,4U,G5,,,item,1920000.00,,1220000.00,,false,true,4
40000000-0000-4000-8000-000000000005,30000000-0000-4000-8000-000000000002,RKT-VIC-PCX7-BLK-3U-G5,3U / G5 Đen,Đen,#212121,3U,G5,,,item,2450000.00,2690000.00,1500000.00,,true,true,1
40000000-0000-4000-8000-000000000006,30000000-0000-4000-8000-000000000002,RKT-VIC-PCX7-BLK-4U-G5,4U / G5 Đen,Đen,#212121,4U,G5,,,item,2450000.00,2690000.00,1500000.00,,false,true,2
40000000-0000-4000-8000-000000000007,30000000-0000-4000-8000-000000000002,RKT-VIC-PCX7-ORG-4U-G6,4U / G6 Cam,Cam,#EF6C00,4U,G6,,,item,2490000.00,,1520000.00,,false,true,3
40000000-0000-4000-8000-000000000008,30000000-0000-4000-8000-000000000002,RKT-VIC-PCX7-WHT-3U-G5,3U / G5 Trắng,Trắng,#FAFAFA,3U,G5,,,item,2490000.00,,1520000.00,,false,true,4
40000000-0000-4000-8000-000000000009,30000000-0000-4000-8000-000000000003,RKT-LIN-WB900-BLU-4U-G5,4U / G5 Xanh,Xanh dương,#1E88E5,4U,G5,,,item,1650000.00,,980000.00,,true,true,1
40000000-0000-4000-8000-000000000010,30000000-0000-4000-8000-000000000003,RKT-LIN-WB900-BLU-4U-G6,4U / G6 Xanh,Xanh dương,#1E88E5,4U,G6,,,item,1650000.00,,980000.00,,false,true,2
40000000-0000-4000-8000-000000000011,30000000-0000-4000-8000-000000000003,RKT-LIN-WB900-GRN-5U-G5,5U / G5 Xanh lá,Xanh lá,#2E7D32,5U,G5,,,item,1590000.00,,950000.00,,false,true,3
40000000-0000-4000-8000-000000000012,30000000-0000-4000-8000-000000000004,RKT-MIZ-TP-GRY-3U-G5,3U / G5 Xám,Xám,#757575,3U,G5,,,item,1290000.00,,780000.00,,true,true,1
40000000-0000-4000-8000-000000000013,30000000-0000-4000-8000-000000000004,RKT-MIZ-TP-GRY-4U-G5,4U / G5 Xám,Xám,#757575,4U,G5,,,item,1290000.00,,780000.00,,false,true,2
40000000-0000-4000-8000-000000000014,30000000-0000-4000-8000-000000000004,RKT-MIZ-TP-BLU-4U-G6,4U / G6 Xanh,Xanh dương,#1976D2,4U,G6,,,item,1320000.00,,800000.00,,false,true,3
40000000-0000-4000-8000-000000000015,30000000-0000-4000-8000-000000000005,RKT-KUM-SL5-YEL-5U-G5,5U / G5 Vàng,Vàng,#F9A825,5U,G5,,,item,890000.00,,520000.00,,true,true,1
40000000-0000-4000-8000-000000000016,30000000-0000-4000-8000-000000000005,RKT-KUM-SL5-YEL-4U-G5,4U / G5 Vàng,Vàng,#F9A825,4U,G5,,,item,920000.00,,540000.00,,false,true,2
40000000-0000-4000-8000-000000000017,30000000-0000-4000-8000-000000000006,RKT-APA-FP99-BLK-4U-G5,4U / G5 Đen (draft),Đen,#000000,4U,G5,,,item,2100000.00,,1300000.00,,true,false,1
40000000-0000-4000-8000-000000000018,30000000-0000-4000-8000-000000000007,SHO-MIZ-CFP-WHT-39,Size 39,Trắng,#FAFAFA,,,39,,item,1590000.00,,900000.00,,false,true,1
40000000-0000-4000-8000-000000000019,30000000-0000-4000-8000-000000000007,SHO-MIZ-CFP-WHT-40,Size 40,Trắng,#FAFAFA,,,40,,item,1590000.00,,900000.00,,false,true,2
40000000-0000-4000-8000-000000000020,30000000-0000-4000-8000-000000000007,SHO-MIZ-CFP-WHT-41,Size 41,Trắng,#FAFAFA,,,41,,item,1590000.00,,900000.00,,true,true,3
40000000-0000-4000-8000-000000000021,30000000-0000-4000-8000-000000000007,SHO-MIZ-CFP-WHT-42,Size 42,Trắng,#FAFAFA,,,42,,item,1590000.00,,900000.00,,false,true,4
40000000-0000-4000-8000-000000000022,30000000-0000-4000-8000-000000000007,SHO-MIZ-CFP-WHT-43,Size 43,Trắng,#FAFAFA,,,43,,item,1590000.00,,900000.00,,false,true,5
40000000-0000-4000-8000-000000000023,30000000-0000-4000-8000-000000000008,SHO-YON-CG-BLK-39,Size 39,Đen,#212121,,,39,,item,1450000.00,,820000.00,,false,true,1
40000000-0000-4000-8000-000000000024,30000000-0000-4000-8000-000000000008,SHO-YON-CG-BLK-40,Size 40,Đen,#212121,,,40,,item,1450000.00,,820000.00,,false,true,2
40000000-0000-4000-8000-000000000025,30000000-0000-4000-8000-000000000008,SHO-YON-CG-BLK-41,Size 41,Đen,#212121,,,41,,item,1450000.00,,820000.00,,false,true,3
40000000-0000-4000-8000-000000000026,30000000-0000-4000-8000-000000000008,SHO-YON-CG-BLK-42,Size 42,Đen,#212121,,,42,,item,1450000.00,,820000.00,,true,true,4
40000000-0000-4000-8000-000000000027,30000000-0000-4000-8000-000000000008,SHO-YON-CG-BLK-43,Size 43,Đen,#212121,,,43,,item,1450000.00,,820000.00,,false,true,5
40000000-0000-4000-8000-000000000028,30000000-0000-4000-8000-000000000009,SHO-LIN-SS-GRY-40,Size 40,Xám,#9E9E9E,,,40,,item,990000.00,1190000.00,550000.00,,false,false,1
40000000-0000-4000-8000-000000000029,30000000-0000-4000-8000-000000000009,SHO-LIN-SS-GRY-41,Size 41,Xám,#9E9E9E,,,41,,item,990000.00,1190000.00,550000.00,,true,false,2
40000000-0000-4000-8000-000000000030,30000000-0000-4000-8000-000000000009,SHO-LIN-SS-GRY-42,Size 42,Xám,#9E9E9E,,,42,,item,990000.00,1190000.00,550000.00,,false,false,3
40000000-0000-4000-8000-000000000031,30000000-0000-4000-8000-000000000010,SHT-YON-FP-TUBE12,Ống 12 quả,,,,,,,tube,520000.00,,320000.00,,true,true,1
40000000-0000-4000-8000-000000000032,30000000-0000-4000-8000-000000000011,SHT-PRO-CLUB-TUBE12,Ống 12 quả,,,,,,,tube,280000.00,,160000.00,,true,true,1
40000000-0000-4000-8000-000000000033,30000000-0000-4000-8000-000000000012,STR-CTL-066-WHT,Trắng,Trắng,#FFFFFF,,,,,set,180000.00,,90000.00,,true,true,1
40000000-0000-4000-8000-000000000034,30000000-0000-4000-8000-000000000012,STR-CTL-066-BLK,Đen,Đen,#000000,,,,,set,180000.00,,90000.00,,false,true,2
40000000-0000-4000-8000-000000000035,30000000-0000-4000-8000-000000000012,STR-CTL-066-YEL,Vàng,Vàng,#F9A825,,,,,set,180000.00,,90000.00,,false,true,3
