id,product_id,variant_id,storage_path,alt_text,sort_order,is_primary
50000000-0000-4000-8000-000000000001,30000000-0000-4000-8000-000000000001,,product-images/30000000-0000-4000-8000-000000000001/main.webp,Ảnh chính Vợt cầu lông Yonex Aero Strike 88,0,true
50000000-0000-4000-8000-000000000002,30000000-0000-4000-8000-000000000001,,product-images/30000000-0000-4000-8000-000000000001/gallery-01.webp,Ảnh phụ Vợt cầu lông Yonex Aero Strike 88,1,false
50000000-0000-4000-8000-000000000003,30000000-0000-4000-8000-000000000002,,product-images/30000000-0000-4000-8000-000000000002/main.webp,Ảnh chính Vợt cầu lông Victor Power Core X7,0,true
50000000-0000-4000-8000-000000000004,30000000-0000-4000-8000-000000000002,,product-images/30000000-0000-4000-8000-000000000002/gallery-01.webp,Ảnh phụ Vợt cầu lông Victor Power Core X7,1,false
50000000-0000-4000-8000-000000000005,30000000-0000-4000-8000-000000000003,,product-images/30000000-0000-4000-8000-000000000003/main.webp,Ảnh chính Vợt cầu lông Li-Ning Wind Blade 900,0,true
50000000-0000-4000-8000-000000000006,30000000-0000-4000-8000-000000000003,,product-images/30000000-0000-4000-8000-000000000003/gallery-01.webp,Ảnh phụ Vợt cầu lông Li-Ning Wind Blade 900,1,false
50000000-0000-4000-8000-000000000007,30000000-0000-4000-8000-000000000004,,product-images/30000000-0000-4000-8000-000000000004/main.webp,Ảnh chính Vợt cầu lông Mizuno Thunder Pulse,0,true
50000000-0000-4000-8000-000000000008,30000000-0000-4000-8000-000000000005,,product-images/30000000-0000-4000-8000-000000000005/main.webp,Ảnh chính Vợt cầu lông Kumpoo Speed Light 5,0,true
50000000-0000-4000-8000-000000000009,30000000-0000-4000-8000-000000000006,,product-images/30000000-0000-4000-8000-000000000006/main.webp,Ảnh chính Vợt cầu lông Apacs Force Pro 99,0,true
50000000-0000-4000-8000-000000000010,30000000-0000-4000-8000-000000000007,,product-images/30000000-0000-4000-8000-000000000007/main.webp,Ảnh chính Giày cầu lông Mizuno Court Flex Pro,0,true
50000000-0000-4000-8000-000000000011,30000000-0000-4000-8000-000000000007,,product-images/30000000-0000-4000-8000-000000000007/gallery-01.webp,Ảnh phụ Giày cầu lông Mizuno Court Flex Pro,1,false
50000000-0000-4000-8000-000000000012,30000000-0000-4000-8000-000000000008,,product-images/30000000-0000-4000-8000-000000000008/main.webp,Ảnh chính Giày cầu lông Yonex Court Glide,0,true
50000000-0000-4000-8000-000000000013,30000000-0000-4000-8000-000000000009,,product-images/30000000-0000-4000-8000-000000000009/main.webp,Ảnh chính Giày cầu lông Li-Ning Swift Step,0,true
50000000-0000-4000-8000-000000000014,30000000-0000-4000-8000-000000000010,,product-images/30000000-0000-4000-8000-000000000010/main.webp,Ảnh chính Cầu lông thi đấu Feather Pro 12 quả,0,true
50000000-0000-4000-8000-000000000015,30000000-0000-4000-8000-000000000010,,product-images/30000000-0000-4000-8000-000000000010/gallery-01.webp,Ảnh phụ Cầu lông thi đấu Feather Pro 12 quả,1,false
50000000-0000-4000-8000-000000000016,30000000-0000-4000-8000-000000000011,,product-images/30000000-0000-4000-8000-000000000011/main.webp,Ảnh chính Cầu lông luyện tập Club Tube 12,0,true
50000000-0000-4000-8000-000000000017,30000000-0000-4000-8000-000000000012,,product-images/30000000-0000-4000-8000-000000000012/main.webp,Ảnh chính Cước đan vợt Control Spin 0.66 mm,0,true
50000000-0000-4000-8000-000000000018,30000000-0000-4000-8000-000000000013,,product-images/30000000-0000-4000-8000-000000000013/main.webp,Ảnh chính Cước đan vợt Power Smash 0.68,0,true
